HANDSET_NAME,HANDSET_BRAND
Innjoo Technology Fire Pro,Innjoo
Innjoo Technology i1,Innjoo
"Innjoo Technology i1s,i1t,i1x,i1k",Innjoo
"Innjoo Technology i2,i2s",Innjoo
Innjoo Technology Max,Innjoo
Innjoo Technology Note E,Innjoo
"Innjoo Technology Note,Note Pro",Innjoo
Innjoo Technology ONE 3G HD,Innjoo
Innjoo Technology ONE LTE HD,Innjoo
Innjoo Technology T1,Innjoo
"Innjoo Technology T2,F1",Innjoo
Intel BT210,Intel
Intercel SAM,Intercel
Intermec CN50,Intermec
Iwow TR-800,Iwow
Jablocom EYE-02,Jablocom
JinPeng A5886,JinPeng
Jixing L2,Jixing
Josh JB222,Josh
"Joyplus International Enterprise QQ-7A,DM-7G,QM-78,K7A,DQ-7B",Joyplus
"Junbo International Electronic Technology G1, G2, G3, G5",Junbo
K-Touch T700,K
Karbonn A5S Smart,Karbonn
Kaza-Miza for Importing & Exporting Agencies i600/i700/i800/i900/i101,Kaza
Kechao K81,Kechao
Kfive K27,Kfive
Kgtel K80,Kgtel
KMY 801D,KMY
"L & A Group FZE E80,E90",L
Lab126 SD4930UR.r2,Lab126
Lava International iris X1+,Lava
Lava International iris X8q,Lava
Leadsky International Development Auro compact 6321,Leadsky
Lemobile Information Technology Letv X500,Lemobile
Lemon Duo 405,Lemon
Lenovo A10-70 A7600-HV,Lenovo
Lenovo A1000,Lenovo
Lenovo A2010,Lenovo
Lenovo A269i,Lenovo
Lenovo A3000-H,Lenovo
Lenovo A316,Lenovo
Lenovo A319 RocStar,Lenovo
Lenovo A328,Lenovo
Lenovo A369i,Lenovo
Lenovo A388t,Lenovo
Lenovo A390 Touch,Lenovo
Lenovo A396,Lenovo
Lenovo A536,Lenovo
Lenovo A560,Lenovo
Lenovo A580,Lenovo
Lenovo A6000,Lenovo
Lenovo A7-30 A3300-GC,Lenovo
Lenovo A7-30 A3300-H,Lenovo
Lenovo A7-30 A3300-T,Lenovo
Lenovo A7-50 A3500,Lenovo
Lenovo A7-50 A3500-H,Lenovo
Lenovo A8-50 A5500-HV,Lenovo
Lenovo A850,Lenovo
Lenovo A859,Lenovo
Lenovo A880,Lenovo
Lenovo A889,Lenovo
Lenovo IdeaTab A1000,Lenovo
Lenovo IdeaTab A3000-H,Lenovo
Lenovo IdeaTab A5000,Lenovo
Lenovo IdeaTab A6000,Lenovo
Lenovo IdeaTab K2,Lenovo
Lenovo K3 Note K50-t5,Lenovo
Lenovo K30-T,Lenovo
Lenovo K800,Lenovo
Lenovo K900,Lenovo
Lenovo K920 Vibe Z2 Pro,Lenovo
Lenovo Lenovo A7010a48,Lenovo
Lenovo Lenovo PB1-750M,Lenovo
"Lenovo Lenovo PB1-770L,Lenovo PB1-770M",Lenovo
Lenovo Lenovo S1a40,Lenovo
"Lenovo Lenovo YT3-850L,Lenovo YT3-850M",Lenovo
Lenovo P70-A,Lenovo
Lenovo P780,Lenovo
Lenovo RocStar,Lenovo
Lenovo S580,Lenovo
Lenovo S60-a,Lenovo
Lenovo S60-w,Lenovo
Lenovo S6000H,Lenovo
Lenovo S650,Lenovo
Lenovo S820,Lenovo
Lenovo S850,Lenovo
Lenovo S856,Lenovo
Lenovo S860t,Lenovo
Lenovo S898t+,Lenovo
Lenovo S90-A Sisley,Lenovo
Lenovo S920,Lenovo
Lenovo S930,Lenovo
Lenovo S939,Lenovo
Lenovo S960,Lenovo
Lenovo S960 Vibe X,Lenovo
Lenovo Sisley S90-A,Lenovo
Lenovo Sisley S90-u,Lenovo
Lenovo TAB 2 A7,Lenovo
Lenovo TAB 2 A8-50L,Lenovo
Lenovo TAB S8-50L,Lenovo
Lenovo ThinkPad A7000-a,Lenovo
Lenovo Vibe P1a,Lenovo
Lenovo Vibe P1m,Lenovo
Lenovo Vibe Shot Z90a,Lenovo
Lenovo Vibe X2,Lenovo
Lenovo YOGA Tablet 10 B8000-H,Lenovo
Lenovo YOGA Tablet 10 HD+ B8080-H,Lenovo
Lenovo YOGA Tablet 2 Pro,Lenovo
"Lenovo YOGA Tablet 2-1050L,YOGA Tablet 2-830L,YOGA Tablet 2-1051L,YOGA Tablet 2-830LC,YOGA Tablet 2-1050LC",Lenovo
Lephone Technology E71,Lephone
LG A190,LG
LG A270,LG
LG A275,LG
LG A290,LG
LG C105,LG
LG C333,LG
LG C399,LG
LG C660,LG
LG D170,LG
LG D410,LG
LG D415BK,LG
LG D618,LG
LG D686 G Pro Lite Dual,LG
LG D800 Optimus G2,LG
LG D801 G2,LG
LG E400 Optimus L3,LG
LG E405 Optimus L3,LG
LG E410 Optimus L1 II,LG
LG E420 Optimus L1 II Dual,LG
LG E425 Optimus L3 II,LG
LG E430 Optimus L3 II,LG
LG E435 Optimus L3 II Dual,LG
LG E440 Optimus L4 II,LG
LG E445 Optimus L4 II Dual,LG
LG E450 Optimus L5 II,LG
LG E455,LG
LG E455 Optimus L5 II,LG
LG E610 Optimus L5,LG
LG E612 Optimus L5,LG
LG E615 Optimus L5 Dual,LG
LG E973 Optimus G,LG
LG E975T Optimus G,LG
LG F200L Optimus Vu II,LG
LG F320K Optimus G2 LTE-A,LG
LG F340K,LG
LG F370L,LG
LG G Flex,LG
LG G Flex2,LG
LG G2,LG
LG G2 Mini LTE,LG
LG G3,LG
LG G3 LTE-A,LG
LG G3 Mini,LG
LG G3 Prime LTE-A,LG
LG G3 S,LG
LG G3 Stylus,LG
LG G4,LG
LG G4 Stylus,LG
LG G660,LG
LG GD580,LG
LG GU280,LG
LG GX200,LG
LG GX300,LG
LG GX500,LG
LG KP500 Cookie,LG
LG L Bello,LG
LG L60,LG
LG L70,LG
LG L90 Dual,LG
LG LS980 G2,LG
LG Magna,LG
LG MS323,LG
LG MS500,LG
LG Nexus 5X,LG
LG P503 Optimus One,LG
LG P705,LG
LG P710 Optimus L7 II,LG
LG P713 Optimus L7 II,LG
LG P715 Optimus L7 II,LG
LG P760 Optimus L9,LG
LG P880 Optimus 4X HD,LG
LG P895 Optimus Vu,LG
LG P920 Optimus 3D,LG
LG P940 Prada K2,LG
LG PR810,LG
LG T300,LG
LG T310,LG
LG T375 Cookie Smart,LG
LG T505,LG
LG T515 Cookie Duo,LG
LG T585,LG
LG V10,LG
LG VS986,LG
Lidaxin Technology X7,Lidaxin
Longcheer Technology (Shanghai) longcheer WM81/HT850HS,Longcheer
Longcheer Technology (Shanghai) W8653,Longcheer
Longcheer Technology (Shanghai) WM850K 3G,Longcheer
LongSung U6300,LongSung
"Lulu Center ik-A7001, ik-TPC783, ik-TPC786, ik-TPC7065P",Lulu
"Lulu Center IK-Y10, IK-Y5, IK-Y3, IK-543",Lulu
"Majestic Technology X800,QX3,pad7,MAX2,HD710",Majestic
"Max Tel FZE EVO K410i , EVO K410i+, EVO K500i , EVO K500i+, EVO Pro K700i",Max
Max Tel FZE Evo k411i,Max
"Meizu M463,M463U",Meizu
Meizu M576H,Meizu
Meizu MX5,Meizu
Mercury ST3,Mercury
Merlin Digital MERLIN MB701,Merlin
Micromax Canvas Nitro 2,Micromax
Microsoft Lumia 430 Dual SIM,Microsoft
Microsoft Lumia 435 Dual SIM,Microsoft
Microsoft Lumia 532 Dual SIM,Microsoft
Microsoft Lumia 535,Microsoft
Microsoft Lumia 535 Dual Sim,Microsoft
Microsoft Lumia 535 Dual SIM,Microsoft
Microsoft Lumia 540,Microsoft
Microsoft Lumia 540 Dual SIM,Microsoft
Microsoft Lumia 550,Microsoft
Microsoft Lumia 640,Microsoft
Microsoft Lumia 640 Dual SIM LTE,Microsoft
Microsoft Lumia 640 XL,Microsoft
Microsoft Lumia 640 XL Dual SIM,Microsoft
Microsoft Lumia 950,Microsoft
Microsoft Lumia 950 XL,Microsoft
Microsoft This is a Test IMEI to be used with multiple prototype models. The frequency bands for each model may not match what is listed in this record,Microsoft
Mobily for IMP &mmercial Agencies i100/i200/i300/i400/i500,Mobily
Mobily for IMP &mmercial Agencies S999/SG005/SG009/SG007/SG008,Mobily
Mobiwire  MBP900,Mobiwire
Mobiwire Mobiles (Ningbo) MobiWire MobiPrint,Mobiwire
Motorola DROID Turbo,Motorola
Motorola DV12357645,Motorola
Motorola EX109 Motokey Mini,Motorola
Motorola EX115 Motokey,Motorola
Motorola L6,Motorola
Motorola MB525 DEFY,Motorola
Motorola MC4587,Motorola
Motorola MC659B,Motorola
Motorola MC67NA,Motorola
Motorola MC75A,Motorola
Motorola Moto E,Motorola
Motorola MOTO G,Motorola
Motorola MOTO G (2nd Gen.),Motorola
Motorola Moto G (3rd Gen.),Motorola
Motorola Moto X,Motorola
Motorola Moto X (2nd Gen.),Motorola
Motorola Moto X Play,Motorola
Motorola Nexus 6 GSM,Motorola
Motorola QUENCH XT5 XT502 Greco,Motorola
Motorola RAZR V3i,Motorola
Motorola RAZR V3x,Motorola
Motorola Ruth (MB511),Motorola
Motorola V3,Motorola
Motorola WX181,Motorola
Motorola XT1080,Motorola
Motorola XT1100 Nexus 6,Motorola
Motorola XT875 DROID BIONIC,Motorola
Motorola XT907 DROID RAZR M,Motorola
Motorola XT910 RAZR,Motorola
Motorola XT925 RAZR HD,Motorola
Multi-Tech Systems MTSMC-G2 SocketModem Cell,Multi
NEC FOMA N600i,NEC
NGM MAXI,NGM
"Nin Shen Qiu Technology V200,V300,V400,V500",Nin
NKTEL Communication bassoon F300 S80,NKTEL
Nokia 100,Nokia
Nokia 101,Nokia
Nokia 103,Nokia
Nokia 105,Nokia
Nokia 105 Dual SIM,Nokia
Nokia 107,Nokia
Nokia 107 Dual SIM,Nokia
Nokia 108,Nokia
Nokia 108 Dual SIM,Nokia
Nokia 110,Nokia
Nokia 1100,Nokia
Nokia 1110i,Nokia
Nokia 1112,Nokia
Nokia 112,Nokia
Nokia 1120,Nokia
Nokia 114,Nokia
Nokia 1200,Nokia
Nokia 1202,Nokia
Nokia 1203,Nokia
Nokia 1208,Nokia
Nokia 1209,Nokia
Nokia 1280,Nokia
Nokia 130 Dual SIM,Nokia
Nokia 130 Dual SIM (RM-1035),Nokia
Nokia 1600,Nokia
Nokia 1616,Nokia
Nokia 1650,Nokia
Nokia 1661,Nokia
Nokia 1662,Nokia
Nokia 1680 Classic,Nokia
Nokia 1800,Nokia
Nokia 206,Nokia
Nokia 206 Dual SIM,Nokia
Nokia 206 Dual SIM (RM-872),Nokia
Nokia 208 Dual SIM,Nokia
Nokia 2100,Nokia
Nokia 215 Dual SIM,Nokia
Nokia 220,Nokia
Nokia 222 Dual SIM,Nokia
Nokia 2220 Slide,Nokia
Nokia 225 Dual SIM,Nokia
Nokia 225 Dual SIM (RM-1011),Nokia
Nokia 230 Dual SIM,Nokia
Nokia 2330 Classic,Nokia
Nokia 2600 Classic,Nokia
Nokia 2630,Nokia
Nokia 2680 Slide,Nokia
Nokia 2690,Nokia
Nokia 2700 Classic,Nokia
Nokia 2720 Fold,Nokia
Nokia 2730 Classic,Nokia
Nokia 2760,Nokia
Nokia 301,Nokia
Nokia 301 Dual Sim,Nokia
Nokia 302,Nokia
Nokia 3100,Nokia
Nokia 311,Nokia
Nokia 3110 Classic,Nokia
Nokia 3500 Classic,Nokia
Nokia 3600 Slide,Nokia
Nokia 3720 Classic,Nokia
Nokia 500,Nokia
Nokia 5130,Nokia
Nokia 5130 XpressMusic,Nokia
Nokia 515 Dual SIM,Nokia
Nokia 5230,Nokia
Nokia 5232,Nokia
Nokia 5233,Nokia
Nokia 5235 Comes with Music,Nokia
Nokia 5250,Nokia
Nokia 5310 XpressMusic,Nokia
Nokia 5530 XpressMusic,Nokia
Nokia 5800 Navigation Edition,Nokia
Nokia 5800 XpressMusic,Nokia
Nokia 5800d,Nokia
Nokia 6020b,Nokia
Nokia 603,Nokia
Nokia 6085,Nokia
Nokia 6120 Classic,Nokia
Nokia 6120 Internet,Nokia
Nokia 6120ci,Nokia
Nokia 6210si,Nokia
Nokia 6300,Nokia
Nokia 6303 Classic,Nokia
Nokia 6303i Classic,Nokia
Nokia 6500 Slide,Nokia
Nokia 6630,Nokia
Nokia 6680,Nokia
Nokia 6700 Classic,Nokia
Nokia 6700 Slide,Nokia
Nokia 6710 Navigator,Nokia
Nokia 6730 Classic,Nokia
Nokia 6760 Slide,Nokia
Nokia 700,Nokia
Nokia 701,Nokia
Nokia 7020,Nokia
Nokia 7230,Nokia
Nokia 7610,Nokia
Nokia 808 PureView,Nokia
Nokia 909.1,Nokia
Nokia Asha 200,Nokia
Nokia Asha 201,Nokia
Nokia Asha 202,Nokia
Nokia Asha 203,Nokia
Nokia Asha 205,Nokia
Nokia Asha 205 Dual SIM,Nokia
Nokia Asha 206,Nokia
Nokia Asha 210,Nokia
Nokia Asha 210 Dual SIM,Nokia
Nokia Asha 230 Dual SIM (RM-986),Nokia
Nokia Asha 300,Nokia
Nokia Asha 302,Nokia
Nokia Asha 303,Nokia
Nokia Asha 305,Nokia
Nokia Asha 306,Nokia
Nokia Asha 308,Nokia
Nokia Asha 309,Nokia
Nokia Asha 310,Nokia
Nokia Asha 311,Nokia
Nokia Asha 500,Nokia
Nokia Asha 501,Nokia
Nokia Asha 501 Dual SIM,Nokia
Nokia Asha 501 Dual SIM (RM-902),Nokia
Nokia Asha 502,Nokia
Nokia Asha 503,Nokia
Nokia Asha 503 Dual SIM,Nokia
Nokia C1-00,Nokia
Nokia C1-01,Nokia
Nokia C2-00,Nokia
Nokia C2-01,Nokia
Nokia C2-02,Nokia
Nokia C2-03,Nokia
Nokia C2-05,Nokia
Nokia C2-06,Nokia
Nokia C3-00,Nokia
Nokia C3-01 Touch and Type,Nokia
Nokia C3-01i Touch and Type,Nokia
Nokia C5-00,Nokia
Nokia C5-00.2,Nokia
Nokia C5-03,Nokia
Nokia C5-06,Nokia
Nokia C6-00,Nokia
Nokia C6-01,Nokia
Nokia C6-01.3,Nokia
Nokia C7-00,Nokia
Nokia C7-00s,Nokia
Nokia E5-00,Nokia
Nokia E51,Nokia
Nokia E52,Nokia
Nokia E6-00,Nokia
Nokia E61i,Nokia
Nokia E63,Nokia
Nokia E65,Nokia
Nokia E66,Nokia
Nokia E7-00,Nokia
Nokia E71,Nokia
Nokia E72,Nokia
Nokia E75,Nokia
Nokia E90 Communicator,Nokia
Nokia Galaxy Ace,Nokia
Nokia Lumia 1320,Nokia
Nokia Lumia 1520,Nokia
Nokia Lumia 520,Nokia
Nokia Lumia 521,Nokia
Nokia Lumia 530,Nokia
Nokia Lumia 530 Dual SIM,Nokia
Nokia Lumia 610,Nokia
Nokia Lumia 620,Nokia
Nokia Lumia 625,Nokia
Nokia Lumia 630,Nokia
Nokia Lumia 630 Dual SIM,Nokia
Nokia Lumia 635,Nokia
Nokia Lumia 710,Nokia
Nokia Lumia 720,Nokia
Nokia Lumia 730 Dual SIM,Nokia
Nokia Lumia 730 Dual SIM (RM-1040),Nokia
Nokia Lumia 735,Nokia
Nokia Lumia 820,Nokia
Nokia Lumia 830,Nokia
Nokia Lumia 920,Nokia
Nokia Lumia 925,Nokia
Nokia Lumia 930,Nokia
Nokia N70,Nokia
Nokia N73,Nokia
Nokia N8,Nokia
Nokia N81,Nokia
Nokia N82,Nokia
Nokia N86 8MP,Nokia
Nokia N9,Nokia
Nokia N95,Nokia
Nokia N95 8GB,Nokia
Nokia N96,Nokia
Nokia N97,Nokia
Nokia N97 mini,Nokia
Nokia RM-921,Nokia
Nokia X Dual SIM,Nokia
Nokia X Dual SIM (RM-980),Nokia
Nokia X1-01,Nokia
Nokia X2 Dual SIM,Nokia
Nokia X2-00,Nokia
Nokia X2-01,Nokia
Nokia X2-02,Nokia
Nokia X2-05,Nokia
Nokia X3-00,Nokia
Nokia X3-02 Touch and Type,Nokia
Nokia X6-00,Nokia
Nokia X7-00,Nokia
Nokia XL Dual SIM,Nokia
Nokia XL Dual SIM (RM-1030),Nokia
Novatel MiFi 2352,Novatel
Nubia Technology NX510J,Nubia
"Obi Mobiles S452,S501, S451",Obi
Obi Mobiles S453,Obi
"Obi Mobiles S502, S505, S454",Obi
"Obi Mobiles S550, S551",Obi
Olkya Liger 71G,Olkya
OnePlus 2,OnePlus
OnePlus 2 (A2003),OnePlus
OnePlus One,OnePlus
Oppo A503,Oppo
Oppo Joy 3,Oppo
Oppo Joy Plus,Oppo
Oppo Mirror 5,Oppo
Oppo Neo 5,Oppo
Oppo R5,Oppo
Oppo R7 Plus,Oppo
Oppo R7g,Oppo
Oppo R831K Neo 3,Oppo
Oppo R831L Neo 5,Oppo
Option GTM671W,Option
Option GTM689W,Option
Orange Barcelona,Orange
"Orkia ORKIA A250, Q350",Orkia
Panasonic EB-3901,Panasonic
Panasonic Panasonic ELUGA I,Panasonic
Panasonic Panasonic P55,Panasonic
Pantech IM-A850K Vega R3,Pantech
Pantech IM-A860L Vega No 6,Pantech
Pantech IM-A890L,Pantech
Pantech X10000,Pantech
Partners Electronics SKYPAD7103G,Partners
Phone Care Branch of Axiom Telecom FT100/Four T100,Phone
Posiscan P7000,Posiscan
Prestigio Plaza MultiPad 4 ULTIMATE 8.0 3G,Prestigio
Prestigio Plaza MultiPad COLOR 10.1 3G,Prestigio
Prestigio Plaza MultiPad COLOR 7.0 3G,Prestigio
Prestigio Plaza PMP7170B3G MultiPad 7.0 Prime 3G,Prestigio
"Prestigio Plaza PSP3453DUOBLACK,PSP3453DUOBLUE,PSP3453DUOMETAL,PSP3453DUOBLACK_UK,PSP3453DUOBLUE_UK",Prestigio
PROTO  PROTO,PROTO
PROTO PROTO,PROTO
PT. Arga Mas Lestari S35D,PT
"Qingdao Haier Telecom D85,D71,G781",Qingdao
Qingdao Haier Telecom G31,Qingdao
"Qingdao Haier Telecom HR-M719,HR-703MZ,J10,W862",Qingdao
Qingdao Hisense Communications Hisense HS-U970,Qingdao
Qingdao Hisense Communications HS-L682,Qingdao
Qingdao Hisense Communications HS-U601,Qingdao
Qingdao Hisense Communications HS-U606,Qingdao
Qingdao Hisense Communications HS-U609,Qingdao
Qingdao Hisense Communications HS-U820,Qingdao
Qingdao Hisense Communications HS-U909,Qingdao
Qingdao Hisense Communications HS-U939,Qingdao
Qingdao Hisense Communications HS-U950,Qingdao
Qingdao Hisense Communications HS-U970E,Qingdao
Qingdao Hisense Communications ITV F5180,Qingdao
QMobile i9,QMobile
Qualcomm Gobi 2000,Qualcomm
"Quality Computers TM-SM510,TM-SM600,TM-SM500,TM-SM550",Quality
"Quectel Wireless Solutions GC65,GC66",Quectel
Quectel Wireless Solutions M10,Quectel
Quectel Wireless Solutions M35,Quectel
Quectel Wireless Solutions M95 Series,Quectel
Quectel Wireless Solutions Quectel M35 Series,Quectel
Sagem HiLo Ingenico FR,Sagem
Sagem HiLo Module,Sagem
Sagem HiloV2,Sagem
Samsung A3000,Samsung
Samsung A300H,Samsung
Samsung A300H Galaxy A3,Samsung
Samsung A300H Galaxy A3 DUOS,Samsung
Samsung A300HQ,Samsung
Samsung A5000,Samsung
Samsung A500FU,Samsung
Samsung A500H,Samsung
Samsung A7000,Samsung
Samsung A700FQ Galaxy A7,Samsung
Samsung A700H,Samsung
Samsung A700YD Galaxy A7 DUOS,Samsung
Samsung A847D,Samsung
Samsung Anycall M110S Galaxy S,Samsung
Samsung B100m,Samsung
Samsung B310E Piton DUOS,Samsung
Samsung B312E,Samsung
Samsung B3210 Corby TXT,Samsung
Samsung B3410,Samsung
Samsung B3410W Ch@t WiFi,Samsung
Samsung B360E,Samsung
Samsung B5510 Galaxy Y Pro,Samsung
Samsung B5512 Galaxy Y Duos,Samsung
Samsung B5512 Galaxy Y Pro,Samsung
Samsung B5722,Samsung
Samsung B7510 Galaxy Pro,Samsung
Samsung B7722 DuoS,Samsung
Samsung C111,Samsung
Samsung C115,Samsung
Samsung C160,Samsung
Samsung C260,Samsung
Samsung C270,Samsung
Samsung C3010S,Samsung
Samsung C3053,Samsung
Samsung C3200 Monte Bar,Samsung
Samsung C3212,Samsung
Samsung C3212i,Samsung
Samsung C3222 Ch@t 322,Samsung
Samsung C3222W,Samsung
Samsung C3303i,Samsung
Samsung C3303K Champ,Samsung
Samsung C3312 Champ Delux,Samsung
Samsung C3312R,Samsung
Samsung C3313T,Samsung
Samsung C3322 Metro DUOS,Samsung
Samsung C3332,Samsung
Samsung C3520,Samsung
Samsung C3592,Samsung
Samsung C3752 Metro DUOS,Samsung
Samsung C5212,Samsung
Samsung C5212i,Samsung
Samsung C6112,Samsung
Samsung C6712 Star II Duos,Samsung
Samsung D900,Samsung
Samsung DM TestProto1,Samsung
Samsung E1080F,Samsung
Samsung E1080i,Samsung
Samsung E1150,Samsung
Samsung E1150i,Samsung
Samsung E1182,Samsung
Samsung E1200M,Samsung
Samsung E1200R Keystone 2,Samsung
Samsung E1205T,Samsung
Samsung E1205Y,Samsung
Samsung E1205Y Keystone 2,Samsung
Samsung E1207T,Samsung
Samsung E1207Y,Samsung
Samsung E120L Galaxy S II HD,Samsung
Samsung E1232B Hero Music,Samsung
Samsung E1252,Samsung
Samsung E1282T,Samsung
Samsung E160L Galaxy Note,Samsung
Samsung E2120,Samsung
Samsung E2152,Samsung
Samsung E2202 Metro DUOS,Samsung
Samsung E2222,Samsung
Samsung E2222 Chat 222,Samsung
Samsung E2232,Samsung
Samsung E2252 Metro,Samsung
Samsung E250,Samsung
Samsung E250i,Samsung
Samsung E250K Galaxy Note II,Samsung
Samsung E250L Galaxy Note II,Samsung
Samsung E250S Galaxy Note II,Samsung
Samsung E2550,Samsung
Samsung E2652W Champ DUOS,Samsung
Samsung E500F DUOS,Samsung
Samsung E500H DUOS,Samsung
Samsung E7000,Samsung
Samsung E700F DUOS,Samsung
Samsung E700H DUOS,Samsung
Samsung F480i,Samsung
Samsung G130H,Samsung
Samsung G350,Samsung
Samsung G350 Galaxy Core Plus,Samsung
Samsung G350E Galaxy Core Plus,Samsung
Samsung G350E Galaxy Star 2 Plus,Samsung
Samsung G3558,Samsung
Samsung G355H Galaxy Core 2,Samsung
Samsung G355H Galaxy Core 2 DUOS,Samsung
Samsung G360H Galaxy Core Prime DUOS,Samsung
Samsung G3815 Galaxy Express 2,Samsung
Samsung G5108 Galaxy Core Max Duos TD-LTE,Samsung
Samsung G530F,Samsung
Samsung G530FZ Galaxy Grand Prime,Samsung
Samsung G530FZ Galaxy Grand Prime DUOS,Samsung
Samsung G530H Galaxy Grand Prime DUOS,Samsung
Samsung G710 Galaxy Grand 2,Samsung
Samsung G7102 Galaxy Grand 2,Samsung
Samsung G7102 Galaxy Grand 2 DUOS,Samsung
Samsung G7105 Galaxy Grand 2,Samsung
Samsung G7106 Galaxy Grand 2,Samsung
Samsung G7106 Galaxy Grand 2 DUOS,Samsung
Samsung G720N0 Galaxy Grand Max LTE,Samsung
Samsung G730A Galaxy S III Mini LTE,Samsung
Samsung G9200,Samsung
Samsung G920A,Samsung
Samsung G920I,Samsung
Samsung G920S,Samsung
Samsung G9250,Samsung
Samsung G925A,Samsung
Samsung G925I,Samsung
Samsung G925T,Samsung
Samsung G925W8,Samsung
Samsung Galaxy,Samsung
Samsung Galaxy A3,Samsung
Samsung Galaxy A3 DUOS,Samsung
Samsung Galaxy A5,Samsung
Samsung Galaxy A5 DUOS,Samsung
Samsung Galaxy A7,Samsung
Samsung Galaxy A7 DUOS,Samsung
Samsung Galaxy A8,Samsung
Samsung Galaxy A8 DUOS,Samsung
Samsung Galaxy Ace 4,Samsung
Samsung Galaxy Ace 4 Lite,Samsung
Samsung Galaxy Ace 4 Lite DUOS,Samsung
Samsung Galaxy Ace 4 LTE,Samsung
Samsung Galaxy Ace NXT,Samsung
Samsung Galaxy Ace NXT DUOS,Samsung
Samsung Galaxy Ace Style,Samsung
Samsung Galaxy Alpha,Samsung
Samsung Galaxy Core 2,Samsung
Samsung Galaxy Core 2 DUOS,Samsung
Samsung Galaxy Core LTE,Samsung
Samsung Galaxy Core Prime,Samsung
Samsung Galaxy Core Prime DUOS,Samsung
Samsung Galaxy Core Prime LTE,Samsung
Samsung Galaxy Core Prime VE,Samsung
Samsung Galaxy Core Prime VE DUOS,Samsung
Samsung Galaxy Grand 2 DUOS,Samsung
Samsung Galaxy Grand 3 DUOS,Samsung
Samsung Galaxy Grand Mega On,Samsung
Samsung Galaxy Grand Neo,Samsung
Samsung Galaxy Grand Neo DUOS,Samsung
Samsung Galaxy Grand Prime,Samsung
Samsung Galaxy Grand Prime DUOS,Samsung
Samsung Galaxy J1,Samsung
Samsung Galaxy J1 DUOS,Samsung
Samsung Galaxy J2,Samsung
Samsung Galaxy J2 DUOS,Samsung
Samsung Galaxy J5,Samsung
Samsung Galaxy J5 DUOS,Samsung
Samsung Galaxy J7,Samsung
Samsung Galaxy J7 DUOS,Samsung
Samsung Galaxy Note 3,Samsung
Samsung Galaxy Note 3 Neo DUOS,Samsung
Samsung Galaxy Note 3 Neo LTE+,Samsung
Samsung Galaxy Note 4,Samsung
Samsung Galaxy Note 5,Samsung
Samsung Galaxy Note Edge,Samsung
Samsung Galaxy Note Edge 4G,Samsung
Samsung Galaxy Note II,Samsung
Samsung Galaxy Pocket 2,Samsung
Samsung Galaxy S DUOS 2,Samsung
Samsung Galaxy S Duos 3,Samsung
Samsung Galaxy S II LTE,Samsung
Samsung Galaxy S III,Samsung
Samsung Galaxy S III DUOS,Samsung
Samsung Galaxy S III LTE,Samsung
Samsung Galaxy S III Mini,Samsung
Samsung Galaxy S III Mini Value Edition,Samsung
Samsung Galaxy S III Neo,Samsung
Samsung Galaxy S III Neo+,Samsung
Samsung Galaxy S4,Samsung
Samsung Galaxy S4 Active,Samsung
Samsung Galaxy S4 LTE-A,Samsung
Samsung Galaxy S4 Mini,Samsung
Samsung Galaxy S4 Mini DUOS,Samsung
Samsung Galaxy S4 Mini LTE,Samsung
Samsung Galaxy S4 Value Edition,Samsung
Samsung Galaxy S4 VE,Samsung
Samsung Galaxy S4 Zoom,Samsung
Samsung Galaxy S4 Zoom LTE,Samsung
Samsung Galaxy S5,Samsung
Samsung Galaxy S5 LTE-A,Samsung
Samsung Galaxy S5 Mini,Samsung
Samsung Galaxy S5 Mini DUOS,Samsung
Samsung Galaxy S5 Neo,Samsung
Samsung Galaxy S6,Samsung
Samsung Galaxy S6 edge,Samsung
Samsung Galaxy S6 Edge,Samsung
Samsung Galaxy S6 Plus,Samsung
Samsung Galaxy Star,Samsung
Samsung Galaxy Star 2,Samsung
Samsung Galaxy Star 2 Plus,Samsung
Samsung Galaxy Star Plus DUOS,Samsung
